Date,Open,High,Low,Close,Volume
2014-01-05,73.2619,73.569,72.564,73.276,33985189
2014-01-12,73.4242,74.9568,73.2236,74.8755,57061810
2014-01-19,74.9426,75.6783,74.537,75.6451,58904765
2014-01-26,75.6203,77.1241,75.4716,77.117,49576846
2014-02-02,76.9363,77.7552,76.4354,77.6916,65874784
2014-02-09,77.53,78.607,76.5562,76.8131,74359523
2014-02-16,76.6647,77.0466,75.9512,76.6562,40154722
2014-02-23,76.7259,77.1084,76.0012,76.7189,28833037
2014-03-02,76.7429,78.1751,76.3521,78.0474,43288294
2014-03-09,78.4707,78.6781,76.1263,76.3362,55014401
2014-03-16,76.3741,78.5492,76.2498,78.207,48618556
2014-03-23,77.9492,78.0548,77.0123,77.9864,52678405
2014-03-30,77.8628,79.585,77.8001,78.8188,49274910
2014-04-06,78.3699,80.0784,77.4675,78.3699,51720410
2014-04-13,78.4861,80.0867,78.4707,80.0387,56072934
2014-04-20,79.8414,80.605,79.256,79.5385,36034084
2014-04-27,79.7924,80.9532,79.1946,80.4847,38923342
2014-05-04,80.3219,81.8945,79.5302,81.6356,61939956
2014-05-11,81.6601,81.6922,80.4187,80.605,54722966
2014-05-18,80.4436,82.8834,80.104,82.2227,50473658
2014-05-25,82.5303,82.5518,81.0097,81.6266,44875688
2014-06-01,81.7347,83.4273,81.3908,82.6495,47253379
2014-06-08,82.0697,82.5592,80.6593,81.0723,64788093
2014-06-15,80.9682,81.7598,80.5261,81.424,43946284
2014-06-22,81.5138,81.8614,80.4604,81.1954,61472024
2014-06-29,81.3986,82.6585,80.9446,82.2146,48281101
2014-07-06,82.4645,82.6425,80.373,80.6213,40078749
2014-07-13,81.0487,82.7667,81.0172,82.6914,41954650
2014-07-20,82.4727,83.7843,81.8862,83.3739,47602077
2014-07-27,83.7676,84.2704,83.1686,84.2614,39303068
2014-08-03,84.1881,84.5413,82.5303,83.6399,78473217
2014-08-10,83.6151,84.9736,82.9791,84.3806,54509568
2014-08-17,84.4733,86.4121,83.776,85.9552,67992902
2014-08-24,85.583,85.7442,84.4226,85.6504,51707214
2014-08-31,85.7616,87.1818,85.583,86.8946,49970625
2014-09-07,85.812,85.9053,84.5159,84.7025,49850088
2014-09-14,85.1677,85.3461,82.8422,82.959,59863892
2014-09-21,83.2919,83.9293,82.4805,83.8694,65601734
2014-09-28,83.9032,85.0752,83.7506,84.8716,47767019
2014-10-05,85.6341,86.7269,84.9564,86.3531,65573629
2014-10-12,86.3033,88.0885,86.0999,88.0622,56965232
2014-10-19,88.1396,93.653,88.0622,88.7809,111464563
2014-10-26,89.3416,89.3841,87.3346,87.824,59164756
2014-11-02,87.9441,88.336,86.846,87.4802,42708323
2014-11-09,87.4469,88.1563,86.912,88.0542,44390786
2014-11-16,87.9441,87.9528,87.0064,87.8669,28437292
2014-11-23,88.0798,88.3276,87.3269,88.2849,33062482
2014-11-30,88.0122,90.2132,87.9178,90.0861,26795817
2014-12-07,90.4284,90.5203,88.501,89.2413,41564917
2014-12-14,89.5019,93.1194,89.2819,93.0764,49216596
2014-12-21,92.5981,94.1432,91.5537,92.7659,66504154
2014-12-28,92.4509,92.9976,90.7901,91.8805,26187080
2015-01-04,92.2714,94.2945,92.1782,94.0597,30962673
2015-01-11,94.5578,97.8783,94.5256,96.8126,74911477
2015-01-18,96.7517,99.7288,96.6972,98.4175,65085563
2015-01-25,99.0447,100.129,97.7167,99.5317,47508169
2015-02-01,99.5764,102.288,98.9796,102.119,67055006
2015-02-08,101.17,102.049,96.6376,96.9276,82517844
2015-02-15,97.6827,97.6904,94.7964,94.8648,59021727
2015-02-22,94.5982,94.7331,93.1762,93.653,67639694
2015-03-01,94.1432,96.4822,94.127,95.8535,64480258
2015-03-08,95.641,95.7033,91.2202,91.5964,70759393
2015-03-15,92.4426,95.0559,92.034,94.915,57143978
2015-03-22,94.8805,97.6738,94.3887,97.5364,56866715
2015-03-29,97.6555,98.4726,95.7798,97.1989,47670052
2015-04-05,97.0216,98.4902,96.294,97.1406,40131973
2015-04-12,97.6914,97.7254,95.9499,96.2815,36866107
2015-04-19,96.2074,98.0055,96.122,97.7011,38845937
2015-04-26,97.2912,97.3601,94.791,95.9011,41499330
2015-05-03,95.9011,96.2074,92.0909,92.3231,65381016
2015-05-10,92.5391,92.7203,89.6409,91.251,82014908
2015-05-17,90.5631,90.7938,88.3266,90.5454,90140343
2015-05-24,89.6076,89.9276,87.9591,89.6666,58569412
2015-05-31,89.9959,91.998,89.9189,91.4022,41779603
2015-06-07,91.1337,91.351,87.4436,87.7562,80478713
2015-06-14,88.0093,88.8155,86.0172,88.0093,69430552
2015-06-21,88.6897,88.8939,87.0999,88.8242,66240131
2015-06-28,87.8994,88.1636,85.7363,86.0001,63353613
2015-07-05,87.2717,88.5268,86.3386,86.7642,62479409
2015-07-12,88.2744,90.2076,86.585,86.7991,82186231
2015-07-19,86.3137,88.868,86.3137,88.7393,47691413
2015-07-26,88.4259,90.8953,87.9938,90.8025,45721241
2015-08-02,91.4105,91.8936,90.088,91.655,52592525
2015-08-09,91.6944,93.2955,90.8558,93.1762,53646587
2015-08-16,92.4806,94.237,91.8196,92.8973,52125566
2015-08-23,93.467,94.9935,92.1764,94.7453,57955620
2015-08-30,96.1489,96.5864,90.9555,91.7189,90089217
2015-09-06,92.4559,92.5213,90.6732,92.1516,64495407
2015-09-13,91.193,91.7027,89.8181,91.2012,36171011
2015-09-20,91.6185,91.8033,89.0116,91.7189,77049913
2015-09-27,90.8953,92.8899,89.9882,91.3159,59656306
2015-10-04,91.8033,94.9935,91.8033,93.7529,67494548
2015-10-11,93.1128,93.1929,91.5836,92.0311,60694933
2015-10-18,92.5981,93.7444,92.4328,93.2608,46632208
2015-10-25,93.1576,93.9132,92.2283,92.7293,44196804
2015-11-01,93.2273,94.0097,91.6185,92.4159,60390330
2015-11-08,91.8539,92.1607,89.5809,89.7849,55052209
2015-11-15,89.0627,90.4626,88.9793,90.3032,44334452
2015-11-22,90.3696,91.4105,89.5104,90.8706,37724481
2015-11-29,90.9031,91.6019,90.7674,91.2654,19433622
2015-12-06,91.3679,93.0169,89.9652,91.1403,71118378
2015-12-13,91.3314,93.8007,91.0903,93.5456,57116268
2015-12-20,93.0531,93.3583,91.0903,93.1444,66858998
2015-12-27,93.2897,93.5622,91.3841,92.287,31201204
2016-01-03,92.4089,92.9242,90.6685,91.3494,37994289
2016-01-10,92.3652,93.5128,91.4181,93.4351,60103665
2016-01-17,92.4417,95.4056,92.3137,95.2432,86286727
2016-01-24,94.7964,96.8764,94.334,94.9501,62538958
2016-01-31,95.3971,96.827,94.8401,96.4109,56938374
2016-02-07,96.2238,98.6455,95.8237,97.7109,54100672
2016-02-14,98.4795,102.643,98.454,99.7776,87735870
2016-02-21,99.0724,99.8383,97.7606,99.7696,16745146
2016-02-28,99.4821,101.221,98.5806,99.2376,17479282
2016-03-06,99.029,99.5357,97.1426,97.848,49872468
2016-03-13,97.6864,99.5804,96.6894,96.8116,45594292
2016-03-20,97.1853,98.5115,96.8203,98.1643,49085316
2016-03-27,97.5247,99.3272,97.125,98.5391,36145744
2016-04-03,98.4059,99.9061,98.0945,99.5506,45854128
2016-04-10,99.6332,101.324,99.2633,100.569,35031553
2016-04-17,100.058,100.695,99.4026,100.472,27970225
2016-04-24,100.068,100.317,97.7353,97.8295,42208023
2016-05-01,97.5821,98.8574,96.827,98.6298,42009885
2016-05-08,98.2556,100.068,97.5821,99.5724,48766923
2016-05-15,99.5804,101.018,99.4821,100.983,35727148
2016-05-22,100.488,100.642,98.454,99.353,39666987
2016-05-29,99.5079,99.7865,98.7184,99.1436,35283459
2016-06-05,98.546,101.93,98.5115,101.93,40091210
2016-06-12,101.58,103.528,101.054,102.933,35555315
2016-06-19,103.339,105.249,103.118,103.741,46235657
2016-06-26,102.701,104.507,101.035,103.877,47436049
2016-07-03,105.902,107.921,105.628,107.747,80966806
2016-07-10,108.732,110.075,108.603,110.075,45922154
2016-07-17,109.638,109.962,105.902,106.056,55693887
2016-07-24,106.605,106.784,105.012,106.399,41568031
2016-07-31,106.511,108.586,106.112,108.488,37692435
2016-08-07,107.345,107.871,105.569,105.952,44931094
2016-08-14,105.643,108.144,105.43,107.555,34515227
2016-08-21,106.997,107.327,106.029,106.53,28458273
2016-08-28,107.242,108.017,106.119,106.248,40211478
2016-09-04,107.028,107.781,106.292,106.651,40828150
2016-09-11,106.71,108.01,104.158,104.241,44367999
2016-09-18,104.089,104.617,102.345,103.655,53776627
2016-09-25,103.477,105.636,103.23,105.256,42564208
2016-10-02,105.43,107.046,105.292,105.821,52847700
2016-10-09,106.088,106.162,102.567,103.213,52795633
