Date,Open,High,Low,Close,Volume
2014-01-05,79.4601,79.9718,78.7522,78.7689,119663454
2014-01-12,78.7778,79.6768,78.1875,79.3719,161544650
2014-01-19,79.2602,80.4985,77.8977,79.8971,216717027
2014-01-26,80.4089,80.9179,78.8315,78.8584,170710906
2014-02-02,78.8865,78.9954,77.0593,78.4299,298210292
2014-02-09,78.3161,79.425,76.1347,79.3719,237621594
2014-02-16,79.3073,81.8323,79.2885,81.6491,193540523
2014-02-23,81.7617,82.2413,81.1953,81.7617,158846461
2014-03-02,81.9158,83.0421,81.7059,82.4737,196858096
2014-03-09,81.6882,83.406,81.1306,82.6491,169303920
2014-03-16,82.6119,83.1334,80.9159,80.9512,176268522
2014-03-23,81.4717,82.9461,81.2717,81.4404,213482502
2014-03-30,81.7395,81.7943,79.0563,79.6532,289686154
2014-04-06,80.2736,82.0598,78.8199,79.0287,293619854
2014-04-13,78.5454,80.4158,76.7779,76.9643,380725090
2014-04-20,77.6387,79.2689,76.2024,78.8737,253249092
2014-04-27,79.066,80.712,78.6757,78.8643,209846892
2014-05-04,79.2219,80.656,77.8787,80.0553,230795241
2014-05-11,79.5865,80.4955,78.2631,79.425,230232831
2014-05-18,79.8913,81.0765,79.2219,80.255,242818721
2014-05-25,80.0374,82.2599,79.8816,82.2413,170309511
2014-06-01,82.6089,83.6795,82.5345,83.5481,134566474
2014-06-08,83.6617,84.9311,82.9364,84.9311,142685696
2014-06-15,84.9598,85.1154,83.9351,84.4744,154739121
2014-06-22,84.3276,85.2518,84.1449,85.1144,157300500
2014-06-29,85.086,86.0222,84.8027,86.0126,142792380
2014-07-06,85.9741,87.8036,85.939,87.8036,93397371
2014-07-13,87.7017,87.8131,85.9016,87.4055,171781902
2014-07-20,87.8036,88.3546,86.5348,88.1846,175337163
2014-07-27,88.0056,89.4652,87.6652,88.7562,151527488
2014-08-03,88.8093,89.2877,86.2809,86.8586,216521201
2014-08-10,87.0693,87.7937,86.1429,87.0693,208656565
2014-08-17,87.3889,89.573,87.0966,89.3632,179400335
2014-08-24,89.8122,91.0601,89.7014,90.8738,139175894
2014-08-31,91.306,91.6621,90.9025,91.5423,110363343
2014-09-07,91.7836,92.0591,90.855,91.6453,108691668
2014-09-14,91.6453,92.1717,90.8837,91.2709,165945020
2014-09-21,91.3699,92.4846,89.9602,91.9473,201939798
2014-09-28,91.7258,91.866,89.8505,90.8427,264529948
2014-10-05,89.9435,91.322,88.2592,90.2847,249458201
2014-10-12,90.5611,90.8259,86.8359,86.8537,310957911
2014-10-19,86.7163,87.3585,82.991,85.5291,461138424
2014-10-26,85.4912,90.7593,85.3449,90.6963,245126126
2014-11-02,90.4924,93.5718,90.1427,93.2512,211799391
2014-11-09,93.3736,93.8325,92.5873,93.4305,138682399
2014-11-16,93.4776,94.9832,93.2334,94.9254,114285543
2014-11-23,94.6969,96.2654,94.1834,95.5283,141719418
2014-11-30,95.7833,97.6879,95.7078,97.4801,78027475
2014-12-07,97.2399,97.4145,96.0275,96.9272,164826076
2014-12-14,96.6686,97.0981,94.4129,94.4225,230901669
2014-12-21,94.9068,96.6871,91.8924,96.2842,325122901
2014-12-28,96.1322,97.1752,96.0745,96.9666,99915418
2015-01-04,96.8783,97.1665,94.5548,95.0215,98950202
