Date,Open,High,Low,Close,Volume
2015-06-07,115.02,115.5,111.57,112.24,28256143
2015-06-14,112.37,114.14,112.13,113.23,19535918
2015-06-21,113.28,115.61,112.63,115.12,28196900
2015-06-28,113.77,113.94,112.13,112.56,20559097
2015-07-05,112.81,113.23,111.41,111.76,21964744
2015-07-12,111.71,112.58,110.05,111.49,26425700
2015-07-19,110.42,111.14,108.4,108.65,35651803
2015-07-26,106.6,106.65,103.43,105.35,51972400
2015-08-02,104.94,105.75,103.86,104.93,35197200
2015-08-09,104.59,105.38,103.78,104.65,20117453
2015-08-16,105.03,107.91,104.92,106.85,28246492
2015-08-23,107.37,111.33,106.31,111.13,43392400
2015-08-30,111.54,112.12,107.08,108.7,54878867
2015-09-06,108.19,109.77,107.07,107.49,23663600
2015-09-13,107.6,107.94,105.27,106.16,25064835
2015-09-20,105.86,109.38,105.68,109.21,25769350
2015-09-27,108.49,110.82,107.44,109.81,28565597
2015-10-04,108.37,109.32,106.47,108.99,27267722
2015-10-11,109.14,111.05,108.46,110.87,31302616
2015-10-18,111.67,113.99,111.01,112.49,43026795
2015-10-25,112.64,113.09,110.96,111.5,21075883
2015-11-01,111.73,113.25,109.06,109.3,24114700
2015-11-08,108.64,108.84,104.02,104.1,35366191
2015-11-15,104.29,104.65,103.04,103.56,21632099
2015-11-22,103.98,104.09,101.98,103.09,27647100
2015-11-29,102.48,103.25,100.99,101.25,15446400
2015-12-06,101.53,104.21,100.53,104.02,38809893
2015-12-13,103.32,103.66,101.85,103.11,24483732
2015-12-20,102.58,103.2,100.23,102.04,39187683
2015-12-27,102.95,103.52,102.21,103.05,15033765
2016-01-03,102.48,102.6,101.31,101.46,13756192
2016-01-10,103.13,106.237,102.485,105.68,38641053
2016-01-17,105.47,105.566,102.499,104.09,39174654
2016-01-24,104.06,106.16,103.65,105,24315595
2016-01-31,105.76,107.93,105.6,106.949,37538522
2016-02-07,107.54,112.35,107.35,112.32,60886759
2016-02-14,113.67,120.84,112.98,118.36,125820089
2016-02-21,116,118.595,114.74,117.58,53939069
2016-02-28,115.44,119.86,115.41,117.11,62622884
2016-03-06,117.59,122.37,117.34,120.54,69501153
2016-03-13,121.18,121.88,118.84,119.41,58453765
2016-03-20,120.27,121.18,117.34,119.8,68373139
2016-03-27,119,120.16,116.16,116.33,36297296
2016-04-03,116.73,118.81,115.55,116.93,48832579
2016-04-10,116.67,118.85,115,118.43,45019347
2016-04-17,119.47,120.345,116.95,117.92,49336177
2016-04-24,118.53,120.55,117.28,117.89,61695517
2016-05-01,118.14,123.93,118.11,123.65,56397497
2016-05-08,123.78,123.96,121.25,123.18,50775479
2016-05-15,121.2,122.39,120.08,121.71,41751809
2016-05-22,122.93,122.97,118.92,119.71,53356686
2016-05-29,118.86,119.6,115.29,115.63,46442541
2016-06-05,115.76,118.89,115.2,118.85,35740451
2016-06-12,118.89,122.1,118.41,121.74,52209582
2016-06-19,122.8,125.67,122.03,123.95,81449975
2016-06-26,122.26,126.82,120.06,125.98,80748570
2016-07-03,126.44,128.42,125.06,128.41,80502314
2016-07-10,128.8,131.15,128.17,130.51,70463954
2016-07-17,129.49,129.895,126.03,126.84,70546312
2016-07-24,127.02,127.5,125.31,126.35,42486771
2016-07-31,125.53,129.41,125.01,128.98,60761377
2016-08-07,128.57,130.55,127.39,127.55,40868046
2016-08-14,127.29,129.26,127.2,127.4,45611494
2016-08-21,127.62,129.17,127.46,127.97,45595425
2016-08-28,127.63,128.22,125.82,126.05,55063497
2016-09-04,126,126.57,124.55,126.57,52910930
2016-09-11,127.4,129.08,126.7,126.75,46937892
2016-09-18,126.31,126.92,124.67,125.06,57678016
2016-09-25,125.61,128.2,125.17,127.65,47122154
2016-10-02,127.96,128.035,125.235,125.64,37427492
2016-10-09,125.32,125.46,118.42,119.74,83882229
2016-10-16,120.16,120.42,119.289,119.36,29173182
2016-10-23,119.7,121.59,119.58,120.83,28914730
2016-10-30,121.28,122.48,120.16,121.58,31486481
2016-11-06,121.51,124.76,121.23,124.39,55478513
2016-11-13,122.66,124.35,116.23,117.1,80314021
2016-11-20,116.12,117.27,114.96,115.15,55770044
2016-11-27,115.72,115.94,112.35,112.61,39323848
2016-12-04,113.23,113.84,110.63,112.14,41643209
2016-12-11,111.15,112.5,110.19,110.4,37100458
2016-12-18,110.59,111.11,107,108.05,51279419
2016-12-25,108.6,108.88,107.294,107.93,27717916
2017-01-01,108.61,110.62,108.24,109.61,25199583
2017-01-08,109.62,112.94,109.37,111.75,29694562
2017-01-15,112.39,114.93,112.17,114.21,37389964
2017-01-22,115.89,115.96,113.935,115.05,34311838
2017-01-29,115.51,116.17,112.81,113.49,30905663
2017-02-05,113.61,116.57,113.535,116.13,41660302
2017-02-12,117.07,118.59,116.67,117.6,44003208
2017-02-19,116.73,118.4,116.15,117.68,35068962
2017-02-26,117.04,119.88,116.77,119.7,29517773
2017-03-05,119.73,120.4,116.44,117.51,48225108
2017-03-12,117.35,117.35,114.13,114.72,33627703
2017-03-19,114.63,117.29,114.02,116.99,38631545
2017-03-26,117.31,119.25,117.205,118.86,33886904
2017-04-02,119.93,120.08,118.32,118.72,35952013
2017-04-09,118.69,120.67,118.4,119.46,35848641
2017-04-16,119.04,122.65,118.85,122.6,36446765
2017-04-23,122.55,123.07,110.03,122.31,55199940
2017-04-30,120.77,121.51,119.87,120.77,48532669
2017-05-07,120.21,120.75,116.63,117.01,44567700
2017-05-14,117.03,117.16,115.56,116.83,28120462
2017-05-21,117.52,120.02,116.99,119.4,40399498
2017-05-28,119.63,120.79,118.915,120.54,31366357
2017-06-04,120.24,121.71,119.95,121.61,30785886
2017-06-11,121.91,123.31,120.4,120.54,39031119
2017-06-18,120.33,121.88,119.128,119.34,43008605
2017-06-25,118.74,119.66,118.07,119.43,31179794
2017-07-02,118.29,119.06,117.91,118.02,31552324
2017-07-09,116.54,116.85,114.8,115.28,34940995
2017-07-16,115.02,117.25,114.83,116.77,26148048
2017-07-23,117.42,119.39,117.23,119.26,31234880
2017-07-30,119.52,120.856,118.55,120.69,32145519
2017-08-06,120.5,121.14,119.22,119.65,30137931
2017-08-13,119.43,122.83,118.97,122.79,37205021
2017-08-20,121.98,123.54,120.583,122.3,42849195
2017-08-27,122.54,123.02,121.29,122.74,33660134
2017-09-03,123.33,126.17,123.33,126.06,51006796
2017-09-10,126.65,128.32,126.55,127.97,41075346
2017-09-17,126.74,126.94,125.41,125.53,38895615
2017-09-24,124.71,125.06,122.49,123.24,39828694
2017-10-01,122.78,124.66,121.55,121.58,41950427
2017-10-08,121.17,121.34,119.784,121.09,38156620
2017-10-15,121.64,123.86,121.551,123.82,30018824
2017-10-22,123.82,123.97,121.39,121.61,32943533
2017-10-29,120.98,121.9,120.21,120.9,27501209
2017-11-05,120.94,121.96,120.184,120.62,25372956
2017-11-12,120.72,122.41,120.68,121.13,29853504
2017-11-19,121.43,123.17,120.77,122.86,30828988
2017-11-26,122.3,122.95,121.04,122.32,20224791
2017-12-03,123.26,123.33,120.64,121.59,37641345
2017-12-10,121.15,121.2,118.1,118.48,41751115
2017-12-17,118.37,119.5,117.4,119.18,37147584
2017-12-24,119.63,121.14,119.53,120.94,25813773
2017-12-31,121.55,124.085,121.51,123.65,28035433
2018-01-07,124.66,125.85,124.101,125.33,32658402
2018-01-14,125.2,127.13,124.23,126.96,42764872
2018-01-21,126.6,127.22,125.8,126.42,33261646
2018-01-28,126.51,129.515,126.28,128.07,45840835
2018-02-04,127.58,128.15,125.99,126.39,57701506
2018-02-11,126.82,127.31,124.4,124.77,61266501
2018-02-18,125.19,128.7,125.11,127.96,43883214
2018-02-25,126.24,127.4,125.44,126.14,28610135
2018-03-04,126.45,126.62,123.575,125.39,37716225
2018-03-11,125.35,126.956,124.78,125.54,28155575
2018-03-18,125.04,125.99,124.21,124.6,24991905
2018-03-25,124.57,128.06,123.96,127.61,37591486
2018-04-01,128.05,128.58,125.31,125.79,29722589
2018-04-08,126.65,127.54,125.425,126.39,36447297
2018-04-15,126.45,129.47,126.23,127.45,36905097
2018-04-22,127.74,128.54,126.55,126.63,34678922
2018-04-29,125.62,126.34,124.69,125.5,30811451
2018-05-06,124.41,125.2,123.39,124.54,35737169
2018-05-13,124.5,125.59,123.79,125,22871699
2018-05-20,125.16,125.21,122.01,122.41,34226859
2018-05-27,122.16,123.82,121.97,123.21,32484266
2018-06-03,122.84,123.78,122.44,122.49,29508483
2018-06-10,122.85,123.35,122.281,123.01,22859693
2018-06-17,123.1,123.86,120.83,121.34,38900983
2018-06-24,121.35,121.44,119.821,120.34,23520587
2018-07-01,120,120.23,118.01,118.65,40219907
2018-07-08,118.18,119.33,117.4,118.86,28821861
2018-07-15,119.65,119.73,117.447,117.61,24834602
2018-07-22,117.51,117.625,115.12,116.56,39122486
2018-07-29,116.25,116.837,115.76,115.83,28154373
2018-08-05,115.8,116.35,114.42,114.92,29764924
2018-08-12,114.56,115.23,114.31,114.69,25820746
2018-08-19,113.81,113.81,111.06,112.13,44591020
2018-08-26,112.38,114.42,112.06,114.16,31286561
2018-09-02,114.12,114.867,113.24,113.51,26562392
2018-09-09,112.75,114.26,112.61,113.23,19575440
2018-09-16,113.26,114.78,112.42,113.02,23435658
2018-09-23,113.6,114.37,112.79,113.49,24904375
2018-09-30,113.68,113.96,111.85,112.76,29442149
2018-10-07,112.4,114.33,112.15,113.8,35955093
2018-10-14,112.25,116.04,111.9,115.23,70785825
2018-10-21,116.12,116.6,115.63,116.01,43856827
2018-10-28,115.57,117.65,115.43,116.77,50504894
2018-11-04,116.41,117.07,114.66,116.65,49835323
2018-11-11,116.28,116.67,114.14,114.48,43752644
2018-11-18,114.01,115.88,113.42,115.62,48245878
2018-11-25,115.45,116.35,115.37,115.77,30144455
2018-12-02,115.84,116.24,114.59,115.54,42127889
2018-12-09,116.6,118.23,116.295,118.09,35320346
2018-12-16,117.7,117.95,116.58,117.06,30283712
2018-12-23,117.37,119.74,117.35,118.72,62070364
2018-12-30,119.57,121.08,119.57,121.06,42769068
2019-01-06,120.98,122.46,120.69,121.44,50000804
2019-01-13,122.16,122.335,121.06,121.8,40967661
2019-01-20,122.15,122.44,121.02,121.02,40322818
2019-01-27,121.18,122.91,120.86,122.86,29887385
2019-02-03,122.75,125.23,122.718,124.5,54931357
2019-02-10,123.99,124.42,123.4,124.21,29936331
2019-02-17,123.19,125,123.19,124.8,35200915
2019-02-24,125.98,127.21,125.05,125.5,38577664
2019-03-03,125.78,125.9,121.87,121.88,42195247
2019-03-10,121.56,122.89,121.03,122.84,38729634
2019-03-17,122.52,123.88,121.92,122.97,36566316
2019-03-24,123.3,124.42,122.65,123.97,39260601
2019-03-31,124.56,125.11,121.705,122.01,37912112
2019-04-07,122.4,122.43,120.96,121.98,36810903
2019-04-14,122.97,123.77,121.79,121.83,32231540
2019-04-21,121.2,121.82,120.15,120.37,23134841
2019-04-28,120.46,121.67,119.55,121.37,22858688
2019-05-05,120.88,121.55,119.54,120.65,36734472
2019-05-12,120.61,121.73,120.54,121.43,21271268
2019-05-19,122.63,122.85,120.33,120.65,39924817
2019-05-26,120.51,121.52,119.83,121.3,20312684
2019-06-02,120.8,123.4,120.46,123.33,31560731
2019-06-09,124.09,127.25,123.9,126.59,43506209
2019-06-16,125.46,127.63,124.884,126.56,30525241
2019-06-23,126.7,132.17,126.17,131.98,60438016
2019-06-30,132.77,135.55,132.26,133.2,71130174
2019-07-07,131.56,134.1,130.55,132.14,44540082
2019-07-14,132.18,133.87,131.158,133.53,42427500
2019-07-21,133.18,136.63,132.13,134.47,59826526
2019-07-28,134.56,134.95,133.09,133.64,42225612
2019-08-04,134.06,136.6,132.305,135.89,78891393
2019-08-11,137.93,142.47,137.05,141.26,76256584
2019-08-18,141.67,144.02,139.35,142.78,90679293
2019-08-25,141.33,144.33,140.85,144.17,53294660
2019-09-01,144.35,145.68,143.02,143.75,60920159
2019-09-08,144.96,146.82,141.86,141.92,61386966
2019-09-15,142.37,143.1,140.06,140.15,57531484
2019-09-22,141.6,143.03,139.81,142.95,50551754
2019-09-29,143.22,144.77,140.16,141.06,50123904
2019-10-06,139.77,143.25,137.8,141.9,62074926
2019-10-13,141.16,142.58,138.91,140.03,44458116
2019-10-20,140.45,141.12,139.21,140.46,36145295
2019-10-27,140.72,142.83,139.6,141.86,28646378
2019-11-03,141.25,142.9,139.55,142.56,31411225
2019-11-10,142.26,142.45,137.39,137.39,48531425
2019-11-17,137.61,138.94,136.19,138.21,37627481
2019-11-24,138.44,139,137.66,137.74,25260105
2019-12-01,137.32,138.134,136.58,137.86,19766061
2019-12-08,137.32,139.57,137.3,137.62,37531475
2019-12-15,137.8,139.85,137.45,139.05,27970233
2019-12-22,139.2,139.55,138.8,139.52,22000065
2019-12-29,139.53,142.73,139.53,142.33,23949546
2020-01-05,142.56,146.32,142.46,145.86,30148913
2020-01-12,148.44,148.61,145.44,146.91,61575649
2020-01-19,146.35,146.99,145.082,146.58,37911043
2020-01-26,145.77,148.38,145.551,147.98,29203984
2020-02-02,149.24,149.68,147.53,149.33,46462792
2020-02-09,148.66,148.78,145.8,147.79,37000410
2020-02-16,148.21,149.13,147.01,149,28441066
2020-02-23,149.88,155.222,149.47,154.7,45608004
2020-03-01,158.5,158.53,147.05,148.38,143831254
2020-03-08,150,159.25,149.04,157.55,102245444
2020-03-15,158.6,159.37,141.58,143.28,130104197
2020-03-22,137.56,146.2,136.12,140.11,111824618
2020-03-29,142.675,155.66,142.28,152.25,88078675
2020-04-05,152.41,153.09,147.85,152.65,54885178
2020-04-12,154.16,159.08,153.96,158.69,49658485
2020-04-19,159.17,164.42,158.12,158.57,73672090
2020-04-26,158.62,163.6,157.04,162.64,62235952
2020-05-03,161.88,162,157.8,159.78,56196673
2020-05-10,160.33,162,158.1,160.42,57842270
2020-05-17,160.34,164.8,158.89,163.93,63569394
2020-05-24,164.33,164.9599,161.37,163.21,53667598
2020-05-31,162.58,163.4,159.2,162.91,49381082
2020-06-07,162.9235,164.08,157.035,158.01,61659672
2020-06-14,158.9,164.06,158.47,162.62,49868664
2020-06-21,160.52,164.09,160.16,164.03,38851835
2020-06-28,165.06,166.99,164.22,166.54,52271688
2020-07-05,166.56,167.9906,165.34,166.98,41466204
2020-07-12,167.75,170.8558,167.1901,169.19,52106951
2020-07-19,170.29,170.43,168.65,170.12,48980844
2020-07-26,170.76,179.16,170.27,178.7,80280786
2020-08-02,181.85,186.14,181.42,185.43,101866574
2020-08-09,185.05,194.4499,184.2,190.81,106074206
2020-08-16,191.2,192.61,179.04,182.54,123570393
2020-08-23,184.69,189.4,180.47,182.03,86054329
2020-08-30,182.91,185.4,179.37,184.39,63877649
2020-09-06,184.79,186.99,180.05,181.64,56221924
2020-09-13,179.5,184.68,179.02,182.45,38459213
2020-09-20,183.57,185.01,181.48,183.2,49216679
2020-09-27,179.84,180.29,173.77,174.94,62086451
2020-10-04,175.83,179.5,175.09,178.54,42134930
2020-10-11,179.02,181.17,176.43,181.08,44523885
2020-10-18,180.57,180.83,177.1,178.3,36411637
2020-10-25,179.41,181.31,177.72,178.64,35053412
2020-11-01,178.75,179.43,174.83,176.2,38445099
2020-11-08,177.4499,183.53,177.1301,183.19,51673864
2020-11-15,176.42,177.8,173.64,177.16,64190809
2020-11-22,177.23,177.91,174.17,175.69,37318269
2020-11-29,175.1,175.24,166.78,167.79,55870260
2020-12-06,166.68,173.32,166.03,172.32,56520840
2020-12-13,172.56,175.93,171.24,172.49,40279612
2020-12-20,171.91,177.87,170.91,176.44,38933463
2020-12-27,176.29,176.94,174.34,176.35,27854537
