Date,Open,High,Low,Close,Volume
2014-01-05,32.6368,33.0223,31.5176,31.6595,381140959
2014-01-12,31.5324,31.8932,30.9782,31.776,457375166
2014-01-19,31.8383,31.8813,31.3107,31.3969,384418374
2014-01-26,31.5626,31.776,30.1432,30.1751,430818238
2014-02-02,30.2144,30.3793,29.6531,30.1348,677064509
2014-02-09,29.8674,30.71,29.2363,30.5607,668985726
2014-02-16,30.4341,31.4599,30.0872,31.2933,444729815
2014-02-23,31.2796,31.3426,30.5688,31.1147,392934387
2014-03-02,31.0817,31.437,30.6532,31.1532,445213435
2014-03-09,30.5515,31.7375,30.3702,31.1825,452906455
2014-03-16,30.9782,31.1147,30.0103,30.3013,420590589
2014-03-23,30.5688,31.1294,30.12,30.7576,467786410
2014-03-30,31.035,32.3674,30.8363,32.1467,481640602
2014-04-06,32.3455,33.2449,32.3299,32.59,503767768
2014-04-13,32.6194,33.5131,32.5424,33.0068,494572153
2014-04-20,33.1121,33.2605,32.036,33.1488,423599577
2014-04-27,33.103,33.1121,31.9902,32.2118,307412056
2014-05-04,32.2475,32.9298,32.0911,32.8347,352897161
2014-05-11,32.6048,33.1744,32.5086,32.841,259867708
2014-05-18,33.3226,33.9299,33.1955,33.8842,381453482
2014-05-25,33.8356,34.1598,33.5196,34.0425,321528588
2014-06-01,33.8978,34.0947,33.505,33.5746,236265583
2014-06-08,33.7184,34.452,33.5819,34.3713,232810544
2014-06-15,34.3329,34.7037,34.2064,34.4125,232045626
2014-06-22,34.3099,34.6662,34.0801,34.3713,271744719
2014-06-29,34.3502,34.6332,34.1827,34.4758,197986699
2014-07-06,34.4923,35.1453,34.3577,35.1213,174960056
2014-07-13,35.0481,35.1754,34.5399,34.9052,203377573
2014-07-20,35.1132,35.3678,34.5195,35.1213,259595913
2014-07-27,34.9463,35.788,34.9301,35.615,245280677
2014-08-03,35.6617,35.8934,34.7147,35.0427,408806817
2014-08-10,35.1993,35.4466,34.3108,34.7622,384918915
2014-08-17,34.9301,35.6526,34.9052,35.3999,295980871
2014-08-24,35.5829,35.9254,35.4557,35.5893,231751111
2014-08-31,35.6772,36.2515,35.6361,35.8386,239022641
2014-09-07,35.8301,36.4639,35.6947,36.4639,244609595
2014-09-14,36.3284,36.3632,34.7065,34.8256,440092434
2014-09-21,34.724,35.344,34.4758,34.5655,478420580
2014-09-28,34.2605,34.4071,33.4995,33.7366,433368600
2014-10-05,32.9015,33.2212,32.1075,32.8327,535309785
2014-10-12,33.5076,33.5288,32.1861,32.2192,508036319
2014-10-19,32.7687,33.0059,31.557,32.3859,576344058
2014-10-26,32.3529,32.7741,32.2805,32.6222,300295187
2014-11-02,32.1075,33.6653,32.0342,33.5215,448864421
2014-11-09,33.4097,33.4262,32.5599,32.7823,306976760
2014-11-16,33.1322,33.1569,32.6002,32.9572,223187215
2014-11-23,32.679,33.7687,32.5361,33.7533,315533321
2014-11-30,33.569,33.7056,32.9893,33.0059,203634521
2014-12-07,32.6313,32.6862,32.3464,32.5113,281452823
2014-12-14,32.297,32.3052,30.4837,30.492,375601235
2014-12-21,30.5469,31.4801,29.601,31.3354,576237911
2014-12-28,31.7127,31.9719,31.3007,31.8025,185799614
2015-01-04,31.8108,31.8766,31.2053,31.2787,212267335
2015-01-11,31.0762,31.9307,30.4297,31.6816,359781494
2015-01-18,31.5873,32.0443,31.2713,31.8592,402631422
2015-01-25,31.7962,33.166,31.6421,32.8821,347216005
2015-02-01,32.7779,33.004,31.4801,31.4801,358712469
2015-02-08,31.8896,32.787,31.818,32.1249,285440690
2015-02-15,32.0204,32.8282,31.5442,32.8117,281767870
2015-02-22,32.7136,32.8574,32.3996,32.8117,170457394
2015-03-01,32.601,33.0763,32.4078,32.8667,243453927
2015-03-08,32.787,32.8429,31.6001,31.6733,291130644
2015-03-15,31.6495,31.6816,30.7126,30.8985,351829996
2015-03-22,31.2053,32.5113,31.1414,32.3354,418715468
2015-03-29,32.3996,32.5864,31.6157,31.8327,309579487
2015-04-05,32.2513,33.3501,32.1486,33.2714,270002768
2015-04-12,33.5846,34.6022,33.5196,34.5929,316091580
2015-04-19,34.659,35.2634,34.2385,34.4481,334218382
2015-04-26,34.4089,35.4153,34.3841,35.3759,207595706
2015-05-03,35.5133,35.649,34.5846,34.8044,326335910
2015-05-10,34.8192,35.06,33.9317,34.5846,277236706
2015-05-17,34.5444,34.8192,33.9637,34.8119,238253516
2015-05-24,34.6176,34.6341,34.1909,34.4793,211814639
