Date,Open,High,Low,Close,Volume
2014-01-05,52.4549,52.9412,51.6684,51.8601,103881700.6094
2014-01-12,51.913,52.542,51.7183,52.5107,98189514.909141
2014-01-19,52.2828,52.725,51.9599,52.5107,111736301.703
2014-01-26,52.8257,52.8326,50.9679,50.9679,94441262.400655
2014-02-02,50.9865,51.2281,49.7606,49.9945,143900703.19881
2014-02-09,49.925,51.19,48.9506,51.1812,153621268.65255
2014-02-16,51.0325,52.315,50.8926,52.2573,106065746.8109
2014-02-23,52.6428,52.9177,52.1879,52.6369,71932682.14637
2014-03-02,52.8326,53.3433,52.542,53.0605,136941430.71305
2014-03-09,52.1879,53.5947,51.8044,53.1789,140144238.7107
2014-03-16,52.8257,52.9275,50.9865,51.1812,146861275.17432
2014-03-23,51.5745,52.2505,50.9454,51.2144,130102329.72441
2014-03-30,51.5431,52.7074,51.0325,52.5489,129261108.80153
2014-04-06,52.949,53.4059,52.77,52.9412,114056443.5279
2014-04-13,52.8649,53.3668,52.0705,52.0783,114007126.67544
2014-04-20,52.3297,53.1613,51.6214,53.0762,93059762.929732
2014-04-27,53.0762,53.4215,52.8179,52.9744,91281008.68922
2014-05-04,53.1466,53.9322,52.77,53.7591,123795673.50092
2014-05-11,53.3668,53.9489,53.2572,53.6192,80160233.248381
2014-05-18,53.8227,54.1523,53.5076,53.8295,103472089.02855
2014-05-25,53.5409,54.0682,53.2259,54.0134,63405366.190139
2014-06-01,54.4057,54.5848,54.1132,54.5554,65028811.391668
2014-06-08,54.7354,55.1894,54.3568,55.1894,66509578.302551
2014-06-15,54.98,55.1669,54.664,54.799,83660136.235832
2014-06-22,54.7119,55.6394,54.5388,55.4496,79241211.127019
2014-06-29,55.1972,55.3244,54.4918,55.0064,86630581.190075
2014-07-06,54.89,55.7979,54.8802,55.7411,60311895.886766
2014-07-13,55.3156,55.3948,53.8892,54.3304,73531375.90572
2014-07-20,54.845,55.0152,54.2032,54.6621,71519982.640405
2014-07-27,54.3167,55.0152,54.213,54.7198,60510734.346217
2014-08-03,54.7286,54.9106,53.1476,53.2523,99282462.547555
2014-08-10,53.4793,53.5986,52.1106,52.5684,106184610.97394
2014-08-17,52.8042,53.6475,52.6007,53.2523,87733030.765573
2014-08-24,53.493,53.8569,53.3325,53.5282,60959241.926615
2014-08-31,53.8031,54.1142,53.5184,53.7219,95956309.266787
2014-09-07,53.8814,54.3304,53.6407,53.9528,62644561.133901
2014-09-14,53.5497,53.6407,53.0185,53.1633,83315823.896458
2014-09-21,53.083,53.3971,52.7524,53.1241,85854677.907431
2014-09-28,53.0586,53.0684,51.8836,52.1575,112237439.95686
2014-10-05,51.6018,51.82,50.0072,50.4729,111459058.97462
2014-10-12,50.7546,50.8691,48.6052,48.6238,125135153.2718
2014-10-19,49.1629,49.2822,47.1964,48.8322,183490839.90565
2014-10-26,48.7745,50.1295,48.7588,50.1109,103289527.33826
2014-11-02,49.6697,51.5226,49.5953,51.4952,113819526.79153
2014-11-09,51.1508,51.2232,50.2351,50.6108,80389437.838093
2014-11-16,50.8045,51.1988,50.5717,51.0217,80223535.2023
2014-11-23,50.604,51.5852,50.5785,51.3602,103960461.60984
2014-11-30,51.5852,51.9707,51.4805,51.5304,66026576.114711
2014-12-07,51.5373,51.6654,51.2232,51.504,95784635.553458
